data_year,data_month,dataset,technology,n_units,rc,tis
2022,1,raw,fiber,260,6,0
2022,1,raw,overall,4282,463,0
2022,2,raw,cable,479,42,0
2022,2,raw,dsl,737,60,0
2022,2,raw,fiber,261,8,0
2022,2,raw,overall,4229,486,0
2022,3,raw,cable,430,42,0
2022,3,raw,dsl,733,58,0
2022,3,raw,fiber,259,6,0
2022,3,raw,overall,4056,455,0
2022,4,raw,cable,465,34,0
2022,4,raw,dsl,731,55,0
2022,4,raw,fiber,259,5,0
2022,4,raw,overall,4012,435,0
2022,5,raw,cable,475,32,0
2022,5,raw,dsl,729,50,0
2022,5,raw,fiber,260,7,0
2022,5,raw,overall,3950,419,0
2022,6,raw,cable,478,29,0
2022,6,raw,dsl,728,68,0
2022,6,raw,fiber,253,6,0
2022,6,raw,overall,3867,433,0
2022,7,raw,cable,478,34,0
2022,7,raw,dsl,717,57,0
2022,7,raw,fiber,255,6,0
2022,7,raw,overall,3727,415,0
2022,8,raw,cable,527,34,0
2022,8,raw,dsl,758,62,0
2022,8,raw,fiber,261,6,0
2022,8,raw,overall,3811,432,0
2022,9,validated,cable,502,23,0
2022,9,validated,dsl,1067,101,0
2022,9,validated,fiber,269,4,0
2022,9,validated,overall,1838,128,0
2022,11,raw,cable,516,56,0
2022,11,raw,dsl,996,81,0
2022,11,raw,fiber,260,5,0
2022,11,raw,overall,3944,514,0
2022,12,raw,cable,523,54,0
2022,12,raw,dsl,949,71,0
2022,12,raw,fiber,250,8,0
2022,12,raw,overall,3856,494,0
2023,1,raw,cable,516,50,0
2023,1,raw,dsl,922,81,0
2023,1,raw,fiber,245,8,0
2023,1,raw,overall,3781,505,0
2023,2,raw,cable,504,64,0
2023,2,raw,dsl,882,75,0
2023,2,raw,fiber,240,24,0
2023,2,raw,overall,3711,525,0
2023,3,raw,cable,0,0,0
2023,3,raw,dsl,0,0,0
2023,3,raw,fiber,0,0,0
2023,3,raw,overall,0,0,0
2023,4,raw,cable,468,33,0
2023,4,raw,dsl,850,59,0
2023,4,raw,fiber,240,7,0
2023,4,raw,overall,3634,409,0
2023,5,raw,cable,429,35,0
2023,5,raw,dsl,829,57,0
2023,5,raw,fiber,230,8,0
2023,5,raw,overall,3388,340,0
2023,6,raw,cable,422,33,0
2023,6,raw,dsl,803,60,0
2023,6,raw,fiber,225,15,0
2023,6,raw,overall,3324,430,0
2023,7,raw,cable,439,31,0
2023,7,raw,dsl,773,59,0
2023,7,raw,fiber,224,36,0
2023,7,raw,overall,3381,504,0
